Check-in date,Check-out date,Room description,Room capacity,Meals,Price,Number available,felix-id,package-id,room-id,name-param,Scrape date
2024-07-17,2024-07-18,Family & Friends Zimmer,3,Übernachtung - Halbpension,291.70€,2,301,1024,343773,301-4-1024,2023-11-20
2024-07-17,2024-07-18,Family & Friends Zimmer,3,Übernachtung - Frühstück,232.00€,2,301,1023,343773,301-4-1023,2023-11-20
2024-07-17,2024-07-18,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,219.00€,4,302,1023,344598,302-4-1023,2023-11-20
2024-07-17,2024-07-18,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,278.70€,4,302,1024,344598,302-4-1024,2023-11-20
2024-07-17,2024-07-18,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,194.50€,4,402,1026,344722,402-4-1026,2023-11-20
2024-07-17,2024-07-18,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,242.50€,4,402,1023,344722,402-4-1023,2023-11-20
2024-07-17,2024-07-18,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,322.10€,4,402,1024,344722,402-4-1024,2023-11-20
2024-07-17,2024-07-18,Appartement,4,Übernachtung - Frühstück,275.00€,1,603,1023,344720,603-4-1023,2023-11-20
2024-07-17,2024-07-18,Appartement,4,Übernachtung - Halbpension,354.60€,1,603,1024,344720,603-4-1024,2023-11-20
2024-07-17,2024-07-18,Studio,4,Übernachtung ohne Frühstück,227.00€,1,918,1026,344719,918-4-1026,2023-11-20
2024-07-17,2024-07-18,Studio,4,Übernachtung - Frühstück,275.00€,1,918,1023,344719,918-4-1023,2023-11-20
2024-07-17,2024-07-18,Studio,4,Übernachtung - Halbpension,354.60€,1,918,1024,344719,918-4-1024,2023-11-20
2024-07-19,2024-07-20,Einzelzimmer,1,Übernachtung - Frühstück,185.00€,2,101,1023,343771,101-4-1023,2023-11-20
2024-07-19,2024-07-20,Einzelzimmer,1,Übernachtung - Halbpension,204.90€,2,101,1024,343771,101-4-1024,2023-11-20
2024-07-19,2024-07-20,Einzelzimmer,1,Übernachtung Frühstück NonFlex,185.00€,2,101,1141,343771,101-4-1141,2023-11-20
2024-07-19,2024-07-20,Doppelzimmer,2,Übernachtung - Halbpension,255.80€,1,201,1024,343772,201-4-1024,2023-11-20
2024-07-19,2024-07-20,Doppelzimmer,2,Übernachtung Frühstück NonFlex,209.50€,1,201,1141,343772,201-4-1141,2023-11-20
2024-07-19,2024-07-20,Doppelzimmer,2,Übernachtung - Frühstück,216.00€,1,201,1023,343772,201-4-1023,2023-11-20
2024-07-19,2024-07-20,Doppelzimmer Superior,2,Übernachtung - Halbpension,287.80€,2,203,1024,344599,203-4-1024,2023-11-20
2024-07-19,2024-07-20,Doppelzimmer Superior,2,Übernachtung - Frühstück,248.00€,2,203,1023,344599,203-4-1023,2023-11-20
2024-07-19,2024-07-20,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,295.30€,2,205,1024,344721,205-4-1024,2023-11-20
2024-07-19,2024-07-20,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,255.50€,2,205,1023,344721,205-4-1023,2023-11-20
2024-07-19,2024-07-20,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,231.50€,2,205,1026,344721,205-4-1026,2023-11-20
2024-07-19,2024-07-20,Family & Friends Zimmer,3,Übernachtung - Halbpension,312.70€,4,301,1024,343773,301-4-1024,2023-11-20
2024-07-19,2024-07-20,Family & Friends Zimmer,3,Übernachtung - Frühstück,253.00€,4,301,1023,343773,301-4-1023,2023-11-20
2024-07-19,2024-07-20,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,277.00€,4,302,1023,344598,302-4-1023,2023-11-20
2024-07-19,2024-07-20,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,336.70€,4,302,1024,344598,302-4-1024,2023-11-20
2024-07-19,2024-07-20,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,280.00€,4,402,1023,344722,402-4-1023,2023-11-20
2024-07-19,2024-07-20,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,232.00€,4,402,1026,344722,402-4-1026,2023-11-20
2024-07-19,2024-07-20,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,359.60€,4,402,1024,344722,402-4-1024,2023-11-20
2024-07-19,2024-07-20,Appartement,4,Übernachtung - Halbpension,391.60€,3,603,1024,344720,603-4-1024,2023-11-20
2024-07-19,2024-07-20,Appartement,4,Übernachtung - Frühstück,312.00€,3,603,1023,344720,603-4-1023,2023-11-20
2024-07-19,2024-07-20,Studio,4,Übernachtung - Frühstück,312.00€,1,918,1023,344719,918-4-1023,2023-11-20
2024-07-19,2024-07-20,Studio,4,Übernachtung - Halbpension,391.60€,1,918,1024,344719,918-4-1024,2023-11-20
2024-07-19,2024-07-20,Studio,4,Übernachtung ohne Frühstück,264.00€,1,918,1026,344719,918-4-1026,2023-11-20
2024-07-20,2024-07-21,Appartement,4,Übernachtung - Frühstück,312.00€,1,603,1023,344720,603-4-1023,2023-11-20
2024-07-20,2024-07-21,Appartement,4,Übernachtung - Halbpension,391.60€,1,603,1024,344720,603-4-1024,2023-11-20
2024-07-23,2024-07-24,Einzelzimmer,1,Übernachtung Frühstück NonFlex,192.00€,2,101,1141,343771,101-4-1141,2023-11-20
2024-07-23,2024-07-24,Einzelzimmer,1,Übernachtung - Halbpension,211.90€,2,101,1024,343771,101-4-1024,2023-11-20
2024-07-23,2024-07-24,Einzelzimmer,1,Übernachtung - Frühstück,192.00€,2,101,1023,343771,101-4-1023,2023-11-20
2024-07-23,2024-07-24,Doppelzimmer Superior,2,Übernachtung - Frühstück,257.00€,1,203,1023,344599,203-4-1023,2023-11-20
2024-07-23,2024-07-24,Doppelzimmer Superior,2,Übernachtung - Halbpension,296.80€,1,203,1024,344599,203-4-1024,2023-11-20
2024-07-23,2024-07-24,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,265.50€,2,205,1023,344721,205-4-1023,2023-11-20
2024-07-23,2024-07-24,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,241.50€,2,205,1026,344721,205-4-1026,2023-11-20
2024-07-23,2024-07-24,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,305.30€,2,205,1024,344721,205-4-1024,2023-11-20
2024-07-23,2024-07-24,Family & Friends Zimmer,3,Übernachtung - Frühstück,284.00€,3,301,1023,343773,301-4-1023,2023-11-20
2024-07-23,2024-07-24,Family & Friends Zimmer,3,Übernachtung - Halbpension,343.70€,3,301,1024,343773,301-4-1024,2023-11-20
2024-07-23,2024-07-24,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,277.00€,4,302,1023,344598,302-4-1023,2023-11-20
2024-07-23,2024-07-24,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,336.70€,4,302,1024,344598,302-4-1024,2023-11-20
2024-07-23,2024-07-24,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,255.00€,4,402,1026,344722,402-4-1026,2023-11-20
2024-07-23,2024-07-24,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,303.00€,4,402,1023,344722,402-4-1023,2023-11-20
2024-07-23,2024-07-24,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,382.60€,4,402,1024,344722,402-4-1024,2023-11-20
2024-07-23,2024-07-24,Appartement,4,Übernachtung - Frühstück,312.00€,2,603,1023,344720,603-4-1023,2023-11-20
2024-07-23,2024-07-24,Appartement,4,Übernachtung - Halbpension,391.60€,2,603,1024,344720,603-4-1024,2023-11-20
2024-07-23,2024-07-24,Studio,4,Übernachtung ohne Frühstück,264.00€,2,918,1026,344719,918-4-1026,2023-11-20
2024-07-23,2024-07-24,Studio,4,Übernachtung - Frühstück,312.00€,2,918,1023,344719,918-4-1023,2023-11-20
2024-07-23,2024-07-24,Studio,4,Übernachtung - Halbpension,391.60€,2,918,1024,344719,918-4-1024,2023-11-20
2024-07-24,2024-07-25,Einzelzimmer,1,Übernachtung - Frühstück,192.00€,1,101,1023,343771,101-4-1023,2023-11-20
2024-07-24,2024-07-25,Einzelzimmer,1,Übernachtung Frühstück NonFlex,192.00€,1,101,1141,343771,101-4-1141,2023-11-20
2024-07-24,2024-07-25,Einzelzimmer,1,Übernachtung - Halbpension,211.90€,1,101,1024,343771,101-4-1024,2023-11-20
2024-07-24,2024-07-25,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,241.50€,1,205,1026,344721,205-4-1026,2023-11-20
2024-07-24,2024-07-25,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,265.50€,1,205,1023,344721,205-4-1023,2023-11-20
2024-07-24,2024-07-25,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,305.30€,1,205,1024,344721,205-4-1024,2023-11-20
2024-07-24,2024-07-25,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,277.00€,4,302,1023,344598,302-4-1023,2023-11-20
2024-07-24,2024-07-25,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,336.70€,4,302,1024,344598,302-4-1024,2023-11-20
2024-07-24,2024-07-25,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,232.00€,4,402,1026,344722,402-4-1026,2023-11-20
2024-07-24,2024-07-25,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,280.00€,4,402,1023,344722,402-4-1023,2023-11-20
2024-07-24,2024-07-25,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,359.60€,4,402,1024,344722,402-4-1024,2023-11-20
2024-07-24,2024-07-25,Appartement,4,Übernachtung - Frühstück,312.00€,1,603,1023,344720,603-4-1023,2023-11-20
2024-07-24,2024-07-25,Appartement,4,Übernachtung - Halbpension,391.60€,1,603,1024,344720,603-4-1024,2023-11-20
2024-07-24,2024-07-25,Studio,4,Übernachtung ohne Frühstück,264.00€,2,918,1026,344719,918-4-1026,2023-11-20
2024-07-24,2024-07-25,Studio,4,Übernachtung - Frühstück,312.00€,2,918,1023,344719,918-4-1023,2023-11-20
2024-07-24,2024-07-25,Studio,4,Übernachtung - Halbpension,391.60€,2,918,1024,344719,918-4-1024,2023-11-20
2024-07-25,2024-07-26,Einzelzimmer,1,Übernachtung - Frühstück,185.00€,4,101,1023,343771,101-4-1023,2023-11-20
2024-07-25,2024-07-26,Einzelzimmer,1,Übernachtung - Halbpension,204.90€,4,101,1024,343771,101-4-1024,2023-11-20
2024-07-25,2024-07-26,Einzelzimmer,1,Übernachtung Frühstück NonFlex,185.00€,4,101,1141,343771,101-4-1141,2023-11-20
2024-07-25,2024-07-26,Doppelzimmer,2,Übernachtung Frühstück NonFlex,209.50€,4,201,1141,343772,201-4-1141,2023-11-20
2024-07-25,2024-07-26,Doppelzimmer,2,Übernachtung - Frühstück,216.00€,4,201,1023,343772,201-4-1023,2023-11-20
2024-07-25,2024-07-26,Doppelzimmer,2,Übernachtung - Halbpension,255.80€,4,201,1024,343772,201-4-1024,2023-11-20
2024-07-25,2024-07-26,Doppelzimmer Superior,2,Übernachtung - Frühstück,238.50€,4,203,1023,344599,203-4-1023,2023-11-20
2024-07-25,2024-07-26,Doppelzimmer Superior,2,Übernachtung - Halbpension,278.30€,4,203,1024,344599,203-4-1024,2023-11-20
2024-07-25,2024-07-26,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,276.30€,4,205,1024,344721,205-4-1024,2023-11-20
2024-07-25,2024-07-26,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,236.50€,4,205,1023,344721,205-4-1023,2023-11-20
2024-07-25,2024-07-26,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,212.50€,4,205,1026,344721,205-4-1026,2023-11-20
2024-07-25,2024-07-26,Family & Friends Zimmer,3,Übernachtung - Frühstück,284.00€,3,301,1023,343773,301-4-1023,2023-11-20
2024-07-25,2024-07-26,Family & Friends Zimmer,3,Übernachtung - Halbpension,343.70€,3,301,1024,343773,301-4-1024,2023-11-20
2024-07-25,2024-07-26,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,277.00€,4,302,1023,344598,302-4-1023,2023-11-20
2024-07-25,2024-07-26,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,336.70€,4,302,1024,344598,302-4-1024,2023-11-20
2024-07-25,2024-07-26,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,232.00€,4,402,1026,344722,402-4-1026,2023-11-20
2024-07-25,2024-07-26,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,280.00€,4,402,1023,344722,402-4-1023,2023-11-20
2024-07-25,2024-07-26,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,359.60€,4,402,1024,344722,402-4-1024,2023-11-20
2024-07-25,2024-07-26,Appartement,4,Übernachtung - Frühstück,312.00€,2,603,1023,344720,603-4-1023,2023-11-20
2024-07-25,2024-07-26,Appartement,4,Übernachtung - Halbpension,391.60€,2,603,1024,344720,603-4-1024,2023-11-20
2024-07-25,2024-07-26,Studio,4,Übernachtung ohne Frühstück,264.00€,1,918,1026,344719,918-4-1026,2023-11-20
2024-07-25,2024-07-26,Studio,4,Übernachtung - Frühstück,312.00€,1,918,1023,344719,918-4-1023,2023-11-20
2024-07-25,2024-07-26,Studio,4,Übernachtung - Halbpension,391.60€,1,918,1024,344719,918-4-1024,2023-11-20
2024-07-26,2024-07-27,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,310.00€,1,302,1023,344598,302-4-1023,2023-11-20
2024-07-26,2024-07-27,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,369.70€,1,302,1024,344598,302-4-1024,2023-11-20
2024-07-26,2024-07-27,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,278.50€,3,402,1026,344722,402-4-1026,2023-11-20
2024-07-26,2024-07-27,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,326.50€,3,402,1023,344722,402-4-1023,2023-11-20
2024-07-26,2024-07-27,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,406.10€,3,402,1024,344722,402-4-1024,2023-11-20
2024-07-26,2024-07-27,Studio,4,Übernachtung ohne Frühstück,264.00€,1,918,1026,344719,918-4-1026,2023-11-20
2024-07-26,2024-07-27,Studio,4,Übernachtung - Frühstück,312.00€,1,918,1023,344719,918-4-1023,2023-11-20
2024-07-26,2024-07-27,Studio,4,Übernachtung - Halbpension,391.60€,1,918,1024,344719,918-4-1024,2023-11-20
2024-07-27,2024-07-28,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,241.50€,1,205,1026,344721,205-4-1026,2023-11-20
2024-07-27,2024-07-28,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,265.50€,1,205,1023,344721,205-4-1023,2023-11-20
2024-07-27,2024-07-28,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,305.30€,1,205,1024,344721,205-4-1024,2023-11-20
2024-07-27,2024-07-28,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,310.00€,1,302,1023,344598,302-4-1023,2023-11-20
2024-07-27,2024-07-28,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,369.70€,1,302,1024,344598,302-4-1024,2023-11-20
2024-07-30,2024-07-31,Einzelzimmer,1,Übernachtung - Frühstück,185.00€,4,101,1023,343771,101-4-1023,2023-11-20
2024-07-30,2024-07-31,Einzelzimmer,1,Übernachtung Frühstück NonFlex,185.00€,4,101,1141,343771,101-4-1141,2023-11-20
2024-07-30,2024-07-31,Einzelzimmer,1,Übernachtung - Halbpension,204.90€,4,101,1024,343771,101-4-1024,2023-11-20
2024-07-30,2024-07-31,Doppelzimmer,2,Übernachtung - Halbpension,255.80€,4,201,1024,343772,201-4-1024,2023-11-20
2024-07-30,2024-07-31,Doppelzimmer,2,Übernachtung - Frühstück,216.00€,4,201,1023,343772,201-4-1023,2023-11-20
2024-07-30,2024-07-31,Doppelzimmer,2,Übernachtung Frühstück NonFlex,209.50€,4,201,1141,343772,201-4-1141,2023-11-20
2024-07-30,2024-07-31,Doppelzimmer Superior,2,Übernachtung - Halbpension,268.80€,4,203,1024,344599,203-4-1024,2023-11-20
2024-07-30,2024-07-31,Doppelzimmer Superior,2,Übernachtung - Frühstück,229.00€,4,203,1023,344599,203-4-1023,2023-11-20
2024-07-30,2024-07-31,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,246.00€,4,205,1023,344721,205-4-1023,2023-11-20
2024-07-30,2024-07-31,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,222.00€,4,205,1026,344721,205-4-1026,2023-11-20
2024-07-30,2024-07-31,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,285.80€,4,205,1024,344721,205-4-1024,2023-11-20
2024-07-30,2024-07-31,Family & Friends Zimmer,3,Übernachtung - Frühstück,242.50€,4,301,1023,343773,301-4-1023,2023-11-20
2024-07-30,2024-07-31,Family & Friends Zimmer,3,Übernachtung - Halbpension,302.20€,4,301,1024,343773,301-4-1024,2023-11-20
2024-07-30,2024-07-31,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,255.00€,4,302,1023,344598,302-4-1023,2023-11-20
2024-07-30,2024-07-31,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,314.70€,4,302,1024,344598,302-4-1024,2023-11-20
2024-07-30,2024-07-31,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,232.00€,4,402,1026,344722,402-4-1026,2023-11-20
2024-07-30,2024-07-31,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,280.00€,4,402,1023,344722,402-4-1023,2023-11-20
2024-07-30,2024-07-31,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,359.60€,4,402,1024,344722,402-4-1024,2023-11-20
2024-07-30,2024-07-31,Appartement,4,Übernachtung - Frühstück,312.00€,3,603,1023,344720,603-4-1023,2023-11-20
2024-07-30,2024-07-31,Appartement,4,Übernachtung - Halbpension,391.60€,3,603,1024,344720,603-4-1024,2023-11-20
2024-07-30,2024-07-31,Studio,4,Übernachtung ohne Frühstück,264.00€,2,918,1026,344719,918-4-1026,2023-11-20
2024-07-30,2024-07-31,Studio,4,Übernachtung - Frühstück,312.00€,2,918,1023,344719,918-4-1023,2023-11-20
2024-07-30,2024-07-31,Studio,4,Übernachtung - Halbpension,391.60€,2,918,1024,344719,918-4-1024,2023-11-20
2024-07-31,2024-08-01,Einzelzimmer,1,Übernachtung - Frühstück,170.50€,4,101,1023,343771,101-4-1023,2023-11-20
2024-07-31,2024-08-01,Einzelzimmer,1,Übernachtung - Halbpension,190.40€,4,101,1024,343771,101-4-1024,2023-11-20
2024-07-31,2024-08-01,Einzelzimmer,1,Übernachtung Frühstück NonFlex,170.50€,4,101,1141,343771,101-4-1141,2023-11-20
2024-07-31,2024-08-01,Doppelzimmer,2,Übernachtung - Frühstück,224.00€,4,201,1023,343772,201-4-1023,2023-11-20
2024-07-31,2024-08-01,Doppelzimmer,2,Übernachtung - Halbpension,263.80€,4,201,1024,343772,201-4-1024,2023-11-20
2024-07-31,2024-08-01,Doppelzimmer,2,Übernachtung Frühstück NonFlex,217.00€,4,201,1141,343772,201-4-1141,2023-11-20
2024-07-31,2024-08-01,Doppelzimmer Superior,2,Übernachtung - Halbpension,268.80€,4,203,1024,344599,203-4-1024,2023-11-20
2024-07-31,2024-08-01,Doppelzimmer Superior,2,Übernachtung - Frühstück,229.00€,4,203,1023,344599,203-4-1023,2023-11-20
2024-07-31,2024-08-01,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,222.00€,4,205,1026,344721,205-4-1026,2023-11-20
2024-07-31,2024-08-01,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,246.00€,4,205,1023,344721,205-4-1023,2023-11-20
2024-07-31,2024-08-01,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,285.80€,4,205,1024,344721,205-4-1024,2023-11-20
2024-07-31,2024-08-01,Family & Friends Zimmer,3,Übernachtung - Halbpension,302.20€,4,301,1024,343773,301-4-1024,2023-11-20
2024-07-31,2024-08-01,Family & Friends Zimmer,3,Übernachtung - Frühstück,242.50€,4,301,1023,343773,301-4-1023,2023-11-20
2024-07-31,2024-08-01,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,255.00€,4,302,1023,344598,302-4-1023,2023-11-20
2024-07-31,2024-08-01,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,314.70€,4,302,1024,344598,302-4-1024,2023-11-20
2024-07-31,2024-08-01,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,359.60€,4,402,1024,344722,402-4-1024,2023-11-20
2024-07-31,2024-08-01,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,280.00€,4,402,1023,344722,402-4-1023,2023-11-20
2024-07-31,2024-08-01,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,232.00€,4,402,1026,344722,402-4-1026,2023-11-20
2024-07-31,2024-08-01,Appartement,4,Übernachtung - Frühstück,312.00€,3,603,1023,344720,603-4-1023,2023-11-20
2024-07-31,2024-08-01,Appartement,4,Übernachtung - Halbpension,391.60€,3,603,1024,344720,603-4-1024,2023-11-20
2024-07-31,2024-08-01,Studio,4,Übernachtung - Frühstück,312.00€,2,918,1023,344719,918-4-1023,2023-11-20
2024-07-31,2024-08-01,Studio,4,Übernachtung ohne Frühstück,264.00€,2,918,1026,344719,918-4-1026,2023-11-20
2024-07-31,2024-08-01,Studio,4,Übernachtung - Halbpension,391.60€,2,918,1024,344719,918-4-1024,2023-11-20
2024-08-01,2024-08-02,Einzelzimmer,1,Übernachtung Frühstück NonFlex,170.50€,4,101,1141,343771,101-4-1141,2023-11-20
2024-08-01,2024-08-02,Einzelzimmer,1,Übernachtung - Halbpension,190.40€,4,101,1024,343771,101-4-1024,2023-11-20
2024-08-01,2024-08-02,Einzelzimmer,1,Übernachtung - Frühstück,170.50€,4,101,1023,343771,101-4-1023,2023-11-20
2024-08-01,2024-08-02,Doppelzimmer Superior,2,Übernachtung - Frühstück,238.50€,4,203,1023,344599,203-4-1023,2023-11-20
2024-08-01,2024-08-02,Doppelzimmer Superior,2,Übernachtung - Halbpension,278.30€,4,203,1024,344599,203-4-1024,2023-11-20
2024-08-01,2024-08-02,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,246.00€,4,205,1023,344721,205-4-1023,2023-11-20
2024-08-01,2024-08-02,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,222.00€,4,205,1026,344721,205-4-1026,2023-11-20
2024-08-01,2024-08-02,Doppelzimmer Deluxe,2,Übernachtung - Halbpension,285.80€,4,205,1024,344721,205-4-1024,2023-11-20
2024-08-01,2024-08-02,Family & Friends Zimmer,3,Übernachtung - Frühstück,242.50€,4,301,1023,343773,301-4-1023,2023-11-20
2024-08-01,2024-08-02,Family & Friends Zimmer,3,Übernachtung - Halbpension,302.20€,4,301,1024,343773,301-4-1024,2023-11-20
2024-08-01,2024-08-02,Family & Friends Plus Zimmer,3,Übernachtung - Frühstück,255.00€,4,302,1023,344598,302-4-1023,2023-11-20
2024-08-01,2024-08-02,Family & Friends Plus Zimmer,3,Übernachtung - Halbpension,314.70€,4,302,1024,344598,302-4-1024,2023-11-20
2024-08-01,2024-08-02,Family & Friends Plus Zimmer,4,Übernachtung ohne Frühstück,232.00€,4,402,1026,344722,402-4-1026,2023-11-20
2024-08-01,2024-08-02,Family & Friends Plus Zimmer,4,Übernachtung - Frühstück,280.00€,4,402,1023,344722,402-4-1023,2023-11-20
2024-08-01,2024-08-02,Family & Friends Plus Zimmer,4,Übernachtung - Halbpension,359.60€,4,402,1024,344722,402-4-1024,2023-11-20
2024-08-01,2024-08-02,Appartement,4,Übernachtung - Frühstück,312.00€,3,603,1023,344720,603-4-1023,2023-11-20
2024-08-01,2024-08-02,Appartement,4,Übernachtung - Halbpension,391.60€,3,603,1024,344720,603-4-1024,2023-11-20
2024-08-01,2024-08-02,Studio,4,Übernachtung ohne Frühstück,264.00€,1,918,1026,344719,918-4-1026,2023-11-20
2024-08-01,2024-08-02,Studio,4,Übernachtung - Frühstück,312.00€,1,918,1023,344719,918-4-1023,2023-11-20
2024-08-01,2024-08-02,Studio,4,Übernachtung - Halbpension,391.60€,1,918,1024,344719,918-4-1024,2023-11-20
2024-08-02,2024-08-03,Einzelzimmer,1,Übernachtung - Frühstück,177.50€,4,101,1023,343771,101-4-1023,2023-11-20
2024-08-02,2024-08-03,Einzelzimmer,1,Übernachtung - Halbpension,197.40€,4,101,1024,343771,101-4-1024,2023-11-20
2024-08-02,2024-08-03,Einzelzimmer,1,Übernachtung Frühstück NonFlex,177.50€,4,101,1141,343771,101-4-1141,2023-11-20
2024-08-02,2024-08-03,Doppelzimmer,2,Übernachtung - Frühstück,224.00€,4,201,1023,343772,201-4-1023,2023-11-20
2024-08-02,2024-08-03,Doppelzimmer,2,Übernachtung - Halbpension,263.80€,4,201,1024,343772,201-4-1024,2023-11-20
2024-08-02,2024-08-03,Doppelzimmer,2,Übernachtung Frühstück NonFlex,217.00€,4,201,1141,343772,201-4-1141,2023-11-20
2024-08-02,2024-08-03,Doppelzimmer Superior,2,Übernachtung - Halbpension,268.80€,4,203,1024,344599,203-4-1024,2023-11-20
2024-08-02,2024-08-03,Doppelzimmer Superior,2,Übernachtung - Frühstück,229.00€,4,203,1023,344599,203-4-1023,2023-11-20
2024-08-02,2024-08-03,Doppelzimmer Deluxe,2,Übernachtung ohne Frühstück,222.00€,4,205,1026,344721,205-4-1026,2023-11-20
2024-08-02,2024-08-03,Doppelzimmer Deluxe,2,Übernachtung - Frühstück,246.00€,4,205,1023,344721,205-4-1023,2023-11-20
